OID,lon_e,lat_e
71,126.94248536,34.38040469
72,126.95259326,34.38045032
73,126.96270119,34.38049512
74,126.97280915,34.38053908
75,126.98291712,34.38058221
76,126.99302512,34.38062450
77,127.00313314,34.38066596
78,127.01324117,34.38070658
79,127.02334923,34.38074637
80,127.03345731,34.38078532
81,127.04356540,34.38082344
82,127.05367352,34.38086072
83,127.06378165,34.38089717
84,127.07388980,34.38093278
85,127.08399797,34.38096756
86,127.09410616,34.38100151
87,127.10421436,34.38103462
88,127.11432258,34.38106689
89,127.12443082,34.38109833
90,127.13453907,34.38112893
91,127.14464733,34.38115870
92,127.15475561,34.38118764
93,127.16486391,34.38121574
94,127.17497221,34.38124300
95,127.18508053,34.38126943
96,127.19518887,34.38129502
97,127.20529722,34.38131978
98,127.21540557,34.38134371
99,127.22551395,34.38136680
100,127.23562233,34.38138905
101,127.24573072,34.38141047
102,127.25583912,34.38143106
103,127.26594754,34.38145081
104,127.27605596,34.38146972
105,127.28616439,34.38148780
106,127.29627283,34.38150505
107,127.30638128,34.38152146
108,127.31648974,34.38153704
109,127.32659821,34.38155178
110,127.33670668,34.38156568
111,127.34681516,34.38157875
112,127.35692364,34.38159099
113,127.36703213,34.38160239
114,127.37714063,34.38161295
115,127.38724913,34.38162269
116,127.39735764,34.38163158
117,127.40746615,34.38163964
118,127.41757466,34.38164687
119,127.42768318,34.38165326
120,127.43779170,34.38165881
121,127.44790022,34.38166354
122,127.45800875,34.38166742
123,127.46811727,34.38167047
124,127.47822580,34.38167269
125,127.48833433,34.38167407
126,127.49844286,34.38167462
127,127.50855139,34.38167433
128,127.51865992,34.38167320
129,127.52876845,34.38167124
130,127.53887698,34.38166845
131,127.54898550,34.38166482
132,127.55909403,34.38166036
133,127.56920255,34.38165506
134,127.57931107,34.38164893
135,127.58941958,34.38164196
136,127.59952809,34.38163415
137,127.60963660,34.38162552
138,127.61974510,34.38161604
139,127.62985360,34.38160573
140,127.63996209,34.38159459
141,127.65007058,34.38158261
142,127.66017906,34.38156980
143,127.67028754,34.38155615
144,127.68039600,34.38154167
145,127.69050446,34.38152635
146,127.70061292,34.38151019
147,127.71072136,34.38149321
148,127.72082979,34.38147538
149,127.73093822,34.38145673
150,127.74104664,34.38143723
151,127.75115504,34.38141690
152,127.76126344,34.38139574
153,127.77137182,34.38137374
154,127.78148020,34.38135091
155,127.79158856,34.38132724
156,127.80169691,34.38130274
157,127.81180525,34.38127740
158,127.82191358,34.38125123
159,127.83202189,34.38122422
160,127.84213019,34.38119638
161,127.85223847,34.38116771
162,127.86234674,34.38113819
163,127.87245500,34.38110785
164,127.88256324,34.38107666
165,127.89267146,34.38104465
166,127.90277967,34.38101180
167,127.91288786,34.38097811
168,127.92299603,34.38094359
169,127.93310419,34.38090823
170,127.94321233,34.38087204
171,127.95332045,34.38083502
172,127.96342855,34.38079715
173,127.97353663,34.38075846
174,127.98364470,34.38071893
175,127.99375274,34.38067856
176,128.00386077,34.38063736
177,128.01396877,34.38059533
178,128.02407675,34.38055246
179,128.03418471,34.38050875
180,128.04429265,34.38046421
181,128.05440056,34.38041884
182,128.06450845,34.38037263
183,128.07461632,34.38032559
184,128.08472417,34.38027771
185,128.09483199,34.38022899
186,128.10493979,34.38017945
187,128.11504756,34.38012906
188,128.12515531,34.38007785
189,128.13526303,34.38002579
190,128.14537072,34.37997291
191,128.15547839,34.37991918
192,128.16558604,34.37986463
193,128.17569365,34.37980924
194,128.18580124,34.37975301
195,128.19590880,34.37969595
196,128.20601633,34.37963805
197,128.21612383,34.37957932
198,128.22623130,34.37951976
199,128.23633874,34.37945936
200,128.24644615,34.37939812
201,128.25655353,34.37933606
202,128.26666088,34.37927315
203,128.27676820,34.37920941
204,128.28687548,34.37914484
205,128.29698273,34.37907943
206,128.30708996,34.37901319
207,128.31719714,34.37894611
208,128.32730430,34.37887820
209,128.33741142,34.37880946
210,128.34751850,34.37873988
211,128.35762555,34.37866946
212,128.36773257,34.37859821
213,128.37783955,34.37852613
214,128.38794649,34.37845321
215,128.39805340,34.37837946
216,128.40816027,34.37830487
217,128.41826710,34.37822944
218,128.42837389,34.37815319
219,128.43848065,34.37807610
220,128.44858737,34.37799817
221,128.45869405,34.37791941
222,128.46880069,34.37783982
223,128.47890728,34.37775939
224,128.48901384,34.37767812
225,128.49912036,34.37759602
226,128.50922684,34.37751309
227,128.51933328,34.37742933
228,128.52943967,34.37734472
229,128.53954602,34.37725929
230,128.54965233,34.37717302
231,128.55975860,34.37708591
232,128.56986482,34.37699798
233,128.57997100,34.37690920
234,128.59007713,34.37681959
235,128.60018322,34.37672915
236,128.61028926,34.37663788
237,128.62039526,34.37654577
238,128.63050121,34.37645282
239,128.64060712,34.37635904
240,128.65071298,34.37626443
241,128.66081879,34.37616898
242,128.67092455,34.37607270
243,128.68103027,34.37597559
244,128.69113593,34.37587764
245,128.70124155,34.37577885
246,128.71134712,34.37567923
247,128.72145264,34.37557878
248,128.73155811,34.37547749
249,128.74166352,34.37537537
250,128.75176889,34.37527242
251,128.76187421,34.37516863
252,128.77197947,34.37506401
253,128.78208468,34.37495855
254,128.79218984,34.37485226
255,128.80229494,34.37474513
256,128.81239999,34.37463717
257,128.82250499,34.37452838
258,128.83260993,34.37441875
259,128.84271482,34.37430829
260,128.85281966,34.37419700
261,128.86292443,34.37408487
262,128.87302915,34.37397190
263,128.88313382,34.37385811
264,128.89323843,34.37374348
265,128.90334298,34.37362801
266,128.91344747,34.37351171
267,128.92355191,34.37339458
268,128.93365628,34.37327661
269,128.94376060,34.37315781
270,128.95386486,34.37303818
271,128.96396906,34.37291771
272,128.97407319,34.37279641
273,128.98417727,34.37267427
274,128.99428129,34.37255130
275,129.00438524,34.37242750
276,129.01448914,34.37230286
277,129.02459297,34.37217739
278,129.03469674,34.37205109
279,129.04480044,34.37192395
280,129.05490408,34.37179598
281,129.06500766,34.37166717
282,129.07511117,34.37153754
283,129.08521462,34.37140706
284,129.09531800,34.37127576
285,129.10542132,34.37114362
286,129.11552457,34.37101065
287,129.12562776,34.37087684
288,129.13573088,34.37074220
289,129.14583393,34.37060673
290,129.15593691,34.37047042
291,129.16603983,34.37033328
292,129.17614267,34.37019530
293,129.18624545,34.37005650
294,129.19634816,34.36991686
295,129.20645080,34.36977638
296,129.21655337,34.36963507
297,129.22665587,34.36949293
298,129.23675829,34.36934996
299,129.24686065,34.36920615
300,129.25696293,34.36906151
301,126.23491425,34.38167082
302,126.24502033,34.38177489
303,126.25512647,34.38187812
304,126.26523265,34.38198053
305,126.27533889,34.38208209
306,126.28544518,34.38218283
307,126.29555152,34.38228273
308,126.30565790,34.38238179
309,126.31576434,34.38248002
310,126.32587082,34.38257742
311,126.33597736,34.38267398
312,126.34608394,34.38276971
313,126.35619057,34.38286460
314,126.36629724,34.38295866
315,126.37640396,34.38305189
316,126.38651073,34.38314428
317,126.39661755,34.38323583
318,126.40672441,34.38332655
319,126.41683131,34.38341644
320,126.42693826,34.38350549
321,126.43704526,34.38359371
322,126.44715229,34.38368109
323,126.45725937,34.38376764
324,126.46736650,34.38385335
325,126.47747366,34.38393823
326,126.48758087,34.38402228
327,126.49768812,34.38410549
328,126.50779541,34.38418786
329,126.51790274,34.38426940
330,126.52801011,34.38435011
331,126.53811753,34.38442998
332,126.54822498,34.38450902
333,126.55833247,34.38458722
334,126.56844000,34.38466458
335,126.57854757,34.38474112
336,126.58865517,34.38481682
337,126.59876282,34.38489168
338,126.60887050,34.38496571
339,126.61897821,34.38503890
340,126.62908597,34.38511126
341,126.63919376,34.38518278
342,126.64930158,34.38525347
343,126.65940944,34.38532333
344,126.66951733,34.38539235
345,126.67962526,34.38546053
346,126.68973322,34.38552788
347,126.69984122,34.38559440
348,126.70994925,34.38566008
349,126.72005731,34.38572492
350,126.73016540,34.38578894
351,126.74027353,34.38585211
352,126.75038168,34.38591445
353,126.76048987,34.38597596
354,126.77059809,34.38603663
355,126.78070634,34.38609647
356,126.79081461,34.38615547
357,126.80092292,34.38621364
358,126.81103125,34.38627097
359,126.82113962,34.38632747
360,126.83124801,34.38638313
361,126.84135643,34.38643795
362,126.85146487,34.38649195
363,126.86157334,34.38654510
364,126.87168184,34.38659743
365,126.88179037,34.38664891
366,126.89189892,34.38669957
