OID,lon_e,lat_e
399,127.32107061,36.34971673
400,127.33142748,36.34973179
401,127.34178435,36.34974595
402,127.35214123,36.34975922
403,127.36249811,36.34977158
404,127.37285500,36.34978305
405,127.38321190,36.34979362
406,127.39356880,36.34980329
407,127.40392570,36.34981207
408,127.41428261,36.34981995
409,127.42463953,36.34982693
410,127.43499644,36.34983301
411,127.44535336,36.34983820
412,127.45571029,36.34984248
413,127.46606721,36.34984587
414,127.47642414,36.34984836
415,127.48678107,36.34984996
416,127.49713799,36.34985066
417,127.50749492,36.34985046
418,127.51785185,36.34984936
419,127.52820878,36.34984736
420,127.53856570,36.34984447
421,127.54892262,36.34984068
422,127.55927955,36.34983599
423,127.56963647,36.34983040
424,127.57999338,36.34982392
425,127.59035029,36.34981653
426,127.60070720,36.34980826
427,127.61106411,36.34979908
428,127.62142100,36.34978900
429,127.63177790,36.34977803
430,127.64213479,36.34976616
431,127.65249167,36.34975339
432,127.66284854,36.34973973
433,127.67320541,36.34972517
434,127.68356227,36.34970971
435,127.69391912,36.34969335
436,127.70427597,36.34967609
437,127.71463280,36.34965794
438,127.72498962,36.34963889
439,127.73534644,36.34961894
440,127.74570324,36.34959809
441,127.75606004,36.34957635
442,127.76641682,36.34955371
443,127.77677359,36.34953017
444,127.78713035,36.34950573
445,127.79748709,36.34948040
446,127.80784382,36.34945417
447,127.81820054,36.34942704
448,127.82855725,36.34939901
449,127.83891394,36.34937009
450,127.84927061,36.34934027
451,127.85962727,36.34930955
452,127.86998392,36.34927793
453,127.88034054,36.34924542
454,127.89069715,36.34921200
455,127.90105375,36.34917769
456,127.91141032,36.34914249
457,127.92176688,36.34910638
458,127.93212342,36.34906938
459,127.94247994,36.34903148
460,127.95283644,36.34899268
461,127.96319292,36.34895299
462,127.97354938,36.34891240
463,127.98390581,36.34887091
464,127.99426223,36.34882852
465,128.00461863,36.34878523
466,128.01497500,36.34874105
467,128.02533135,36.34869597
468,128.03568768,36.34865000
469,128.04604398,36.34860312
470,128.05640026,36.34855535
471,128.06675651,36.34850668
472,128.07711274,36.34845711
473,128.08746894,36.34840665
474,128.09782512,36.34835529
475,128.10818127,36.34830303
476,128.11853740,36.34824987
477,128.12889349,36.34819582
478,128.13924956,36.34814087
479,128.14960560,36.34808502
480,128.15996162,36.34802827
481,128.17031760,36.34797063
482,128.18067355,36.34791209
483,128.19102947,36.34785265
484,128.20138537,36.34779231
485,128.21174123,36.34773108
486,128.22209706,36.34766895
487,128.23245286,36.34760592
488,128.24280862,36.34754200
489,128.25316436,36.34747717
490,128.26352006,36.34741145
491,128.27387572,36.34734484
492,128.28423135,36.34727732
493,128.29458695,36.34720891
494,128.30494251,36.34713960
495,128.31529804,36.34706940
